"Họ tên","Học hàm/Học vị","Chuyên khoa","Cơ sở y tế","Đánh giá","Đường dẫn hồ sơ"
"Võ Đăng Nhật","Bác sĩ chuyên khoa II","Nội Thần kinh","Bệnh viện Đa khoa Vinmec Đà Nẵng","4.9/5","/vie/chuyen-gia-y-te/vo-dang-nhat-51801-vi"
"Võ Tá Sơn","Bác sĩ chuyên khoa II","Khoa Sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/vo-ta-son-51464-vi"
"Nguyễn Thị Hương Xuân","Bác sĩ chuyên khoa II, Bác sĩ nội trú","Sản phụ khoa","Khoa Sản phụ khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/nguyen-thi-huong-xuan-51757-vi"
"Nguyễn Đình Tới","Bác sĩ chuyên khoa II","Khoa Sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","4.9/5","/vie/chuyen-gia-y-te/nguyen-dinh-toi-894-vi"
"Bùi Thanh Quang","Bác sĩ chuyên khoa II","Tim mạch","Trung tâm Tim mạch - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/bui-thanh-quang-51751-vi"
"Trần Thị Linh Chi","Bác sĩ chuyên khoa II","Nhi","Khoa Nhi - Sơ sinh - Bệnh viện Đa khoa Vinmec Hải Phòng","4.9/5","/vie/chuyen-gia-y-te/tran-thi-linh-chi-50900-vi"
"Đồng Xuân Hà","Bác sĩ chuyên khoa II","Nội Tiêu hoá - Nội soi","Khoa khám bệnh & Nội khoa - Bệnh viện Đa khoa Vinmec Hạ Long","4.9/5","/vie/chuyen-gia-y-te/dong-xuan-ha-50894-vi"
"Phạm Việt Hùng","Thầy thuốc ưu tú, Thạc sĩ, Bác sĩ chuyên khoa II","Ngoại Tiêu hoá","Bệnh viện Đa khoa Quốc tế Vinmec Hạ Long","4.9/5","/vie/chuyen-gia-y-te/pham-viet-hung"
"Nguyễn Văn Nghĩa","Bác sĩ chuyên khoa II","Ngoại Tiêu hoá","Khoa Ngoại tổng hợp - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/nguyen-van-nghia-51461-vi"
"Nguyễn Thị Thùy An","Bác sĩ chuyên khoa II","Tai - Mũi - Họng","Khoa Khám bệnh & Nội khoa - Bệnh viện Đa khoa Quốc tế Vinmec Central Park","4.9/5","/vie/chuyen-gia-y-te/nguyen-thi-thuy-an-51429-vi"
